name,component,units
Q_tot,membrane,millivolt
past,membrane,second
m_factor,sodium_current_m_gate,dimensionless
h_infinity,sodium_current_h1_gate,dimensionless
d_L_infinity,L_type_Ca_channel_d_L_gate,dimensionless
f_L_infinity,L_type_Ca_channel_f_L1_gate,dimensionless
r_infinity,Ca_independent_transient_outward_K_current_r_gate,dimensionless
s_infinity,Ca_independent_transient_outward_K_current_s_gate,dimensionless
a_ur_infinity,ultra_rapid_K_current_aur_gate,dimensionless
i_ur_infinity,ultra_rapid_K_current_iur_gate,dimensionless
n_infinity,delayed_rectifier_K_currents_n_gate,dimensionless
p_a_infinity,delayed_rectifier_K_currents_pa_gate,dimensionless
J_O_TMgMg,intracellular_Ca_buffering,per_second
r_Ca_d_term,Ca_handling_by_the_SR,dimensionless
m_infinity,sodium_current_m_gate,dimensionless
h_factor,sodium_current_h1_gate,dimensionless
d_L_factor,L_type_Ca_channel_d_L_gate,dimensionless
f_L_factor,L_type_Ca_channel_f_L1_gate,millivolt
tau_r,Ca_independent_transient_outward_K_current_r_gate,second
s_factor,Ca_independent_transient_outward_K_current_s_gate,dimensionless
tau_a_ur,ultra_rapid_K_current_aur_gate,second
tau_i_ur,ultra_rapid_K_current_iur_gate,second
n_factor,delayed_rectifier_K_currents_n_gate,dimensionless
pa_factor,delayed_rectifier_K_currents_pa_gate,dimensionless
i_Stim,membrane,pA_per_nF
r_Ca_i_term,Ca_handling_by_the_SR,dimensionless
tau_m,sodium_current_m_gate,second
tau_h1,sodium_current_h1_gate,second
tau_h2,sodium_current_h2_gate,second
tau_d_L,L_type_Ca_channel_d_L_gate,second
tau_f_L1,L_type_Ca_channel_f_L1_gate,second
tau_f_L2,L_type_Ca_channel_f_L2_gate,second
tau_s,Ca_independent_transient_outward_K_current_s_gate,second
tau_n,delayed_rectifier_K_currents_n_gate,second
tau_pa,delayed_rectifier_K_currents_pa_gate,second
E_Na,sodium_current,millivolt
r_Ca_d_factor,Ca_handling_by_the_SR,dimensionless
i_Na,sodium_current,picoA
r_Ca_i_factor,Ca_handling_by_the_SR,dimensionless
f_Ca,L_type_Ca_channel,dimensionless
r_act,Ca_handling_by_the_SR,per_second
i_Ca_L,L_type_Ca_channel,picoA
r_inact,Ca_handling_by_the_SR,per_second
E_K,Ca_independent_transient_outward_K_current,millivolt
i_t,Ca_independent_transient_outward_K_current,picoA
i_Kur,ultra_rapid_K_current,picoA
i_K1,inward_rectifier,picoA
i_Ks,delayed_rectifier_K_currents,picoA
pip,delayed_rectifier_K_currents_pi_gate,dimensionless
i_Kr,delayed_rectifier_K_currents,picoA
i_B_Na,background_currents,picoA
E_Ca,background_currents,millivolt
i_B_Ca,background_currents,picoA
pow_Na_i_15,sodium_potassium_pump,millimolar15
i_NaK,sodium_potassium_pump,picoA
i_CaP,sarcolemmal_calcium_pump_current,picoA
i_NaCa,Na_Ca_ion_exchanger_current,picoA
i_KACh,ACh_dependent_K_current,picoA
i_di,intracellular_ion_concentrations,picoA
I,membrane,pA_per_nF
J_O_C,intracellular_Ca_buffering,per_second
J_O_TC,intracellular_Ca_buffering,per_second
J_O_TMgC,intracellular_Ca_buffering,per_second
J_O,intracellular_Ca_buffering,per_second
i_rel_f2,Ca_handling_by_the_SR,dimensionless
i_rel_factor,Ca_handling_by_the_SR,dimensionless
i_rel,Ca_handling_by_the_SR,picoA
i_up,Ca_handling_by_the_SR,picoA
i_tr,Ca_handling_by_the_SR,picoA
J_O_Calse,Ca_handling_by_the_SR,per_second
